36,30
33,30
33,31
29,31
26,32
22,32
24,32
21,32
19,33
16,33
14,34
9,34
11,34
12,35
7,35
8,35
4,35
5,35
5,36
6,36
5,37
4,37
3,38
7,38
5,38
8,39
12,39
11,39
19,40
21,40
22,41
26,41
27,41
30,42
34,43
36,44
38,44
36,45
38,45
40,45
41,46
42,46
43,47
44,1
44,2
42,3
41,3
40,4
38,4
36,5
34,5
31,5
30,6
27,7
26,8
23,8
25,8
22,9
18,9
16,10
13,10
10,11
11,11
8,12
4,12
5,13
4,13
4,14
2,14
1,15
5,15
4,15
5,16
12,16
9,17
15,17
19,17
22,18
23,18
26,19
32,20
39,21
43,22
46,23
47,23
48,24
48,25
47,26
46,26
43,27
46,28
41,29
39,29
