38,28
37,29
36,29
38,30
37,30
38,31
37,31
36,32
35,33
33,33
34,33
32,34
33,34
31,35
30,35
28,36
27,36
27,37
26,37
26,38
25,39
24,39
26,40
25,40
25,41
24,41
26,41
26,42
25,42
26,43
25,43
25,44
26,44
27,45
28,45
29,46
29,47
30,47
30,1
31,1
35,2
37,3
39,3
38,4
40,4
41,6
42,6
43,7
44,8
45,9
46,10
46,12
46,13
46,15
47,17
48,18
47,20
48,21
46,22
47,23
45,25
43,26
43,27
42,28
40,28
39,29
41,27
41,26
42,24
41,23
40,21
39,20
37,19
35,18
32,17
31,17
29,17
26,16
20,16
17,15
16,15
12,15
11,15
9,15
8,15
4,15
3,15
1,15
