7.2801,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,2,2.2361,2.8284,3.6056,4.4721,5.3852,5.3852,5.099,5,5,5.099,5.3852,5.831,6.4031,7.0711,7.8102,8,7,6,5,4,3,2,1,0,1,2,3,4,5,5,4.4721,4.1231,4,4.1231,4.4721,5,5.6569,6.4031,7.2111
7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,5,4.4721,4.1231,4,4,4.1231,4.4721,5,5.6569,6.4031,7.2111,8,7,6,5,4,3,2,1,0,1,2,3,4,5,4.2426,3.6056,3.1623,3,3.1623,3.6056,4.2426,5,5.831,6.7082
7,6,5,4,3,2,1,0,1,2,3,4,4.2426,3.6056,3.1623,3,3,3.1623,3.6056,4.2426,5,5.831,6.7082,7.6158,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,4.4721,3.6056,2.8284,2.2361,2,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246
7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,3.6056,2.8284,2.2361,2,2,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.2801,7,6,5,4,3,2,1,0,1,2,3,4,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828
7,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,2,2.2361,2.8284,3.6056,4.1231,3.1623,2.2361,1.4142,1,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,4,3,2,1,0,1,2,3,4,5,6
7,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,2,2.2361,2.8284,3.6056,4,3,2,1,0,0,1,2,3,4,5,6,7,6.7082,5.831,5,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,4,3,2,1,0,1,2,3,4,5,6
6.7082,5.831,5,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,3.1623,2.2361,1.4142,1,0,1,2,3,4,5,6,7,6.3246,5.3852,4.4721,3.6056,2.8284,2,1,0,1,2,3,4,4,3,2,1,0,1,2,3,4,5,5.831
6.3246,5.3852,4.4721,3.6056,2.8284,2,1,0,1,2,3,4,3.6056,2.8284,2,1,0,1,2,3,4,5,6,7,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,0,1,2,3,4,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,2.8284,3.6056,4.4721,5.3852
6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,0,1,2,3,4,3.1623,2.2361,1.4142,1,0,1,2,3,4,5,5.831,6.7082,6,5,4,3,2,1,0,1,1.4142,2.2361,3.1623,4.1231,4,3,2,1,0,1,1.4142,2.2361,3.1623,4.1231,5.099
6,5,4,3,2,1,0,1,1.4142,2.2361,3.1623,4,3,2,1,0,1,1.4142,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,2.8284,3.6056,4.4721,4.1231,3.1623,2.2361,1.4142,1,0,1,2,3,4,5
