6,5,4,3,2,1,0,1,0,0,1,1,0,1,1,1,1.4142,1,1,1,1,1,1,1,1,1.4142,1,1,1.4142,1,1,1,1,1,1,1,1,0,0,0,0,0,1,2,3,4,5,6
6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,1,1,1.4142,1.4142,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,2,3,4,5,6
6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,2,2.2361,2,2,2.2361,2.2361,1.4142,1,1,1,1.4142,1,1,1,1,1,1,1,1,1.4142,1,1,1.4142,1,1,1,1,1,1,1,1,1.4142,2,1,0,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828
6.7082,5.831,5,4.2426,3.6056,3.1623,3,3.1623,3,3,3.1623,2.8284,2.2361,2,2,2,2.2361,2,2,2,2,2,2,2,2,2.2361,2,2,2.2361,2,2,2,2,2,2,2,2,2.2361,1.4142,1,1,1.4142,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246
7.2111,6.4031,5.6569,5,4.4721,4.1231,4,4.1231,4,4,4.1231,3.6056,3.1623,3,3,3,3.1623,3,3,3,3,3,3,3,3,3.1623,3,3,3.1623,3,3,3,3,3,3,3,2.8284,2,1,0,1,2,2.8284,3.6056,4.2426,5,5.831,6.7082
7.8102,7.0711,6.4031,5.831,5.3852,5.099,5,5.099,5,5,5,4.4721,4.1231,4,4,4,4.1231,4,4,4,4,4,4,4,4,4.1231,4,4,4.1231,4,4,4,4,4,4,3.1623,2.2361,1.4142,1,0,1,2,3,4,5,5.6569,6.4031,7.2111
8.4853,7.8102,7.2111,6.7082,6.3246,6.0828,6,6.0828,6,6,5.831,5.3852,5.099,5,5,5,5.099,5,5,5,5,5,5,5,5,5.099,5,5,5.099,5,5,5,5,4.4721,3.6056,2.8284,2,1,0,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,7.8102
9.2195,8.6023,8.0623,7.6158,7.2801,7.0711,7,7.0711,7,7,6.7082,6.3246,6.0828,6,6,6,6.0828,6,6,6,6,6,6,6,6,6.0828,6,6,6.0828,6,6,5.831,5,4.1231,3.1623,2.2361,1.4142,1,0,1,2,2.8284,3.6056,4.4721,5.3852,6.3246,7.2801,8.2462
10,9.434,8.9443,8.544,8.2462,8.0623,8,8.0623,8,8,7.6158,7.2801,7.0711,7,7,7,7.0711,7,7,7,7,7,7,7,7,7.0711,7,7,7.0711,6.4031,5.6569,5,4.4721,3.6056,2.8284,2,1,0,1,1.4142,2.2361,3.1623,4.1231,5,5.831,6.7082,7.6158,8.544
10.817,10.296,9.8489,9.4868,9.2195,9.0554,9,9.0554,9,8.9443,8.544,8.2462,8.0623,8,8,8,8.0623,8,8,8,8,8,8,8,8,8.0623,8,7.6158,6.7082,5.831,5,4.2426,3.6056,3.1623,2.2361,1.4142,1,1,1.4142,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.2111,8.0623,8.9443
11.662,11.18,10.77,10.44,10.198,10.05,10,10.05,10,9.8489,9.4868,9.2195,9.0554,9,9,9,9.0554,9,9,9,9,9,9,9,9,9.0554,8.2462,7.2801,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,2,1,0,1,2,2.8284,3.6056,4.2426,5,5.831,6.7082,7.6158,8.544,9.434
12.53,12.083,11.705,11.402,11.18,11.045,11,11.045,11,10.77,10.44,10.198,10.05,10,10,10,10.05,10,10,10,10,10,10,10,9.8489,8.9443,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1,1,1.4142,2.2361,3.1623,4.1231,5,5.6569,6.4031,7.2111,8.0623,8.9443,9.8489
13.416,13,12.649,12.369,12.166,12.042,12,12.042,12,11.705,11.402,11.18,11.045,11,11,11,11.045,11,11,11,11,11,10.63,9.8995,9.2195,8.4853,7.6158,6.7082,5.831,5,4,3,2,1,0,0,1,2,2.8284,3.6056,4.4721,5.3852,6.3246,7.0711,7.8102,8.6023,9.434,10.296
14.318,13.928,13.601,13.342,13.153,13.038,13,13.038,13,12.649,12.369,12.166,12.042,12,12,12,12.042,12,12,12,11.662,10.817,10,9.2195,8.4853,7.8102,7.0711,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,1.4142,1,1,1.4142,2.2361,3.1623,4.1231,5,5.831,6.7082,7.6158,8.4853,9.2195,10,10.817
15.232,14.866,14.56,14.318,14.142,14.036,14,14.036,13.928,13.601,13.342,13.153,13.038,13,13,13,13.038,13,13,12.083,11.18,10.296,9.434,8.6023,7.8102,7.0711,6.4031,5.6569,5,4.1231,3.1623,2.2361,1.4142,1,1.4142,2,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.2111,8.0623,8.9443,9.8489,10.63,11.402
16.155,15.811,15.524,15.297,15.133,15.033,15,15.033,14.866,14.56,14.318,14.142,14.036,14,14,14,14.036,13.416,12.53,11.662,10.77,9.8489,8.9443,8.0623,7.2111,6.4031,5.6569,5,4.2426,3.6056,2.8284,2,1,0,1,2,3,3.6056,4.2426,5,5.831,6.7082,7.6158,8.544,9.434,10.296,11.18,12.042
17.088,16.763,16.492,16.279,16.125,16.031,16,16.031,15.811,15.524,15.297,15.133,15.033,15,15,14.422,13.601,12.806,12.042,11.18,10.296,9.434,8.544,7.6158,6.7082,5.831,5,4.2426,3.6056,2.8284,2.2361,1.4142,1,1,1.4142,2.2361,3.1623,4.1231,5,5.6569,6.4031,7.2111,8.0623,8.9443,9.8489,10.77,11.662,12.53
18.028,17.72,17.464,17.263,17.117,17.029,17,17.029,16.763,16.492,16.279,16.125,16.031,15.62,14.765,13.892,13.038,12.207,11.402,10.63,9.8489,8.9443,8.0623,7.2111,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,1.4142,1,0,1,2,2.8284,3.6056,4.4721,5.3852,6.3246,7.0711,7.8102,8.6023,9.434,10.296,11.18,12.083,13
18.974,18.682,18.439,18.248,18.111,18.028,18,18.028,17.72,17.464,17.263,16.643,15.811,15,14.213,13.416,12.53,11.662,10.817,10,9.2195,8.4853,7.6158,6.7082,5.831,5,4.1231,3.1623,2.2361,1.4142,1,0,1,1.4142,2.2361,3.1623,4.1231,5,5.831,6.7082,7.6158,8.4853,9.2195,10,10.817,11.662,12.53,13.416
19.925,19.647,19.416,19.235,19.105,19.026,19,18.974,18.601,17.804,17,16.125,15.264,14.422,13.601,12.806,12.042,11.18,10.296,9.434,8.6023,7.8102,7.0711,6.3246,5.3852,4.4721,3.6056,2.8284,2,1,0,1,1.4142,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.2111,8.0623,8.9443,9.8489,10.63,11.402,12.207,13.038,13.892
20.881,20.616,20.396,20.224,20.1,20.025,19.723,18.868,18.028,17.205,16.401,15.62,14.765,13.892,13.038,12.207,11.402,10.63,9.8489,8.9443,8.0623,7.2111,6.4031,5.6569,5,4.1231,3.1623,2.2361,1.4142,1,0,1,2,2.8284,3.6056,4.2426,5,5.831,6.7082,7.6158,8.544,9.434,10.296,11.18,12.042,12.806,13.601,14.422
21.84,21.587,21.378,21.213,21.024,20.125,19.235,18.358,17.493,16.643,15.811,15,14.213,13.416,12.53,11.662,10.817,10,9.2195,8.4853,7.6158,6.7082,5.831,5,4.2426,3.6056,2.8284,2,1,0,1,1.4142,2.2361,3.1623,4.1231,5,5.6569,6.4031,7.2111,8.0623,8.9443,9.8489,10.77,11.662,12.53,13.416,14.213,15
22.804,22.561,22.361,21.471,20.591,19.698,18.788,17.889,17,16.125,15.264,14.422,13.601,12.806,12.042,11.18,10.296,9.434,8.6023,7.8102,7.0711,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,1.4142,1,1,1.4142,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.0711,7.8102,8.6023,9.434,10.296,11.18,12.083,13,13.892,14.765,15.62
23.707,22.825,21.932,21.024,20.125,19.235,18.358,17.464,16.553,15.652,14.765,13.892,13.038,12.207,11.402,10.63,9.8489,8.9443,8.0623,7.2111,6.4031,5.6569,5,4.1231,3.1623,2.2361,1.4142,1,0,1,2,2.8284,3.6056,4.2426,5,5.831,6.7082,7.6158,8.4853,9.2195,10,10.817,11.662,12.53,13.416,14.318,15.232,16.125
23.259,22.361,21.471,20.591,19.698,18.788,17.889,17,16.125,15.232,14.318,13.416,12.53,11.662,10.817,10,9.2195,8.4853,7.6158,6.7082,5.831,5,4.2426,3.6056,3,2,1,0,1,1.4142,2.2361,3.1623,4.1231,5,5.6569,6.4031,7.2111,8.0623,8.9443,9.8489,10.63,11.402,12.207,13.038,13.892,14.765,15.652,16.553
22.825,21.932,21.024,20.125,19.235,18.358,17.464,16.553,15.652,14.765,13.892,13,12.083,11.18,10.296,9.434,8.6023,7.8102,7.0711,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,2,1,0,1,2,2.8284,3.6056,4.4721,5.3852,6.3246,7.0711,7.8102,8.6023,9.434,10.296,11.18,12.042,12.806,13.601,14.422,15.264,16.125,17
