13,37
12,37
11,36
10,36
9,36
8,36
8,35
7,35
6,34
5,33
4,32
3,32
3,31
3,30
2,30
2,29
1,29
1,28
1,27
1,26
1,25
1,24
1,23
1,22
1,21
1,20
2,19
2,18
3,17
4,17
4,16
6,16
7,15
8,14
9,14
10,13
11,13
13,12
15,11
16,11
17,10
18,10
19,10
20,10
21,10
22,10
25,10
26,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
36,11
37,11
38,12
39,13
40,13
40,14
42,16
43,16
44,17
45,18
46,19
46,20
47,22
48,23
48,25
48,26
48,27
48,28
48,30
48,31
47,31
47,32
46,34
44,35
44,36
42,37
41,37
40,37
39,38
37,39
35,39
32,39
30,39
28,39
27,39
25,39
24,39
22,39
21,39
19,39
18,38
16,38
15,38
14,38
13,38
