13,36
12,36
11,36
11,35
10,35
10,34
9,34
8,33
7,33
6,33
6,32
5,32
5,31
4,30
3,30
3,29
2,28
1,28
1,27
1,26
1,25
1,24
1,23
1,22
1,21
1,20
2,20
2,19
3,18
3,17
4,17
5,16
5,15
6,15
6,14
7,14
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,14
19,16
20,18
20,19
21,19
21,20
22,21
22,22
22,23
22,24
22,25
22,26
22,27
22,28
22,29
21,30
20,30
20,31
19,31
19,32
18,32
17,33
16,34
15,34
14,34
13,35
12,35
14,35
15,35
16,35
18,35
19,35
21,35
22,35
24,35
26,35
28,35
29,35
30,35
32,35
36,35
38,35
39,35
41,35
42,35
43,35
44,35
46,35
47,35
48,35
