6,10
5,11
4,12
3,14
3,15
3,16
2,18
2,19
1,21
1,22
1,24
1,25
1,26
2,28
2,30
3,31
3,32
3,33
4,33
5,34
5,35
6,36
7,36
7,37
8,37
9,38
10,38
11,38
12,39
13,40
14,40
16,40
17,41
18,41
19,41
21,41
22,41
23,41
24,41
26,40
28,40
29,40
30,39
31,39
32,38
33,38
35,37
35,36
36,35
38,33
39,31
40,31
40,30
40,29
41,28
41,27
41,25
40,23
40,21
40,19
40,18
39,18
39,16
38,16
38,15
38,14
37,14
36,14
36,13
36,12
35,12
35,13
34,14
33,15
32,16
32,18
32,19
32,20
32,21
31,22
31,24
31,25
31,26
31,27
31,23
32,22
33,20
33,19
33,18
33,17
34,16
34,15
35,14
36,11
36,10
36,9
36,8
37,9
38,10
39,10
40,11
42,12
43,12
44,13
46,14
47,14
48,14
